date,river_discharge_m3s,location
2010-05-18 16:00:00,31.284939,Petaling
2010-05-19 16:00:00,42.752213,Petaling
2010-05-20 16:00:00,38.264492,Petaling
2010-05-21 16:00:00,32.651154,Petaling
2010-05-22 16:00:00,32.34264,Petaling
2010-05-23 16:00:00,25.424091,Petaling
2010-05-24 16:00:00,19.370422,Petaling
2010-05-25 16:00:00,15.292961,Petaling
2010-05-26 16:00:00,12.304543,Petaling
2010-05-27 16:00:00,13.157939,Petaling
2010-05-28 16:00:00,20.727013,Petaling
2010-05-29 16:00:00,43.874535,Petaling
2010-05-30 16:00:00,35.559475,Petaling
2010-05-31 16:00:00,37.370724,Petaling
2010-06-01 16:00:00,33.99452,Petaling
2010-06-02 16:00:00,26.605778,Petaling
2010-06-03 16:00:00,25.791681,Petaling
2010-06-04 16:00:00,33.355797,Petaling
2010-06-05 16:00:00,32.573765,Petaling
2010-06-06 16:00:00,26.41574,Petaling
2010-06-07 16:00:00,26.478943,Petaling
2010-06-08 16:00:00,21.542395,Petaling
2010-06-09 16:00:00,26.54229,Petaling
2010-06-10 16:00:00,29.199518,Petaling
2010-06-11 16:00:00,33.833736,Petaling
2010-06-12 16:00:00,52.088448,Petaling
2010-06-13 16:00:00,41.266865,Petaling
2010-06-14 16:00:00,33.514374,Petaling
2010-06-15 16:00:00,29.060766,Petaling
2010-06-16 16:00:00,34.727283,Petaling
2010-06-17 16:00:00,27.973436,Petaling
2010-06-18 16:00:00,21.130949,Petaling
2010-06-19 16:00:00,16.218683,Petaling
2010-06-20 16:00:00,13.354893,Petaling
2010-06-21 16:00:00,17.967058,Petaling
2010-06-22 16:00:00,19.749136,Petaling
2010-06-23 16:00:00,16.70109,Petaling
2010-06-24 16:00:00,17.79317,Petaling
2010-06-25 16:00:00,16.060823,Petaling
2010-06-26 16:00:00,19.044722,Petaling
2010-06-27 16:00:00,18.724226,Petaling
2010-06-28 16:00:00,14.95879,Petaling
2010-06-29 16:00:00,15.982437,Petaling
2010-06-30 16:00:00,42.151905,Petaling
2010-07-01 16:00:00,48.545025,Petaling
2010-07-02 16:00:00,36.153526,Petaling
2010-07-03 16:00:00,31.885159,Petaling
2010-07-04 16:00:00,25.363314,Petaling
2010-07-05 16:00:00,19.6063,Petaling
2010-07-06 16:00:00,15.672472,Petaling
2010-07-07 16:00:00,48.65923,Petaling
2010-07-08 16:00:00,42.25139,Petaling
2010-07-09 16:00:00,33.43499,Petaling
2010-07-10 16:00:00,29.69022,Petaling
2010-07-11 16:00:00,28.716663,Petaling
2010-07-12 16:00:00,24.118862,Petaling
2010-07-13 16:00:00,20.330448,Petaling
2010-07-14 16:00:00,18.408857,Petaling
2010-07-15 16:00:00,19.701412,Petaling
2010-07-16 16:00:00,25.607248,Petaling
2010-07-17 16:00:00,34.481335,Petaling
2010-07-18 16:00:00,35.05787,Petaling
2010-07-19 16:00:00,36.411057,Petaling
2010-07-20 16:00:00,35.728233,Petaling
2010-07-21 16:00:00,31.359364,Petaling
2010-07-22 16:00:00,28.10717,Petaling
2010-07-23 16:00:00,25.001593,Petaling
2010-07-24 16:00:00,20.428905,Petaling
2010-07-25 16:00:00,25.485,Petaling
2010-07-26 16:00:00,21.803423,Petaling
2010-07-27 16:00:00,24.52701,Petaling
2010-07-28 16:00:00,19.653805,Petaling
2010-07-29 16:00:00,14.885467,Petaling
2010-07-30 16:00:00,14.559657,Petaling
2010-07-31 16:00:00,12.677289,Petaling
2010-08-01 16:00:00,11.852865,Petaling
2010-08-02 16:00:00,9.69055,Petaling
2010-08-03 16:00:00,7.8104887,Petaling
2010-08-04 16:00:00,6.112135,Petaling
